date,equity,position,mean_pred,spy_neighbors
2019-02-01,1.0,0,-0.000405336704684256,10
2019-02-04,1.0,0,5.8130676206236134e-05,10
2019-02-05,1.0,0,0.0003937621569371608,10
2019-02-06,1.0,0,-0.000250114882438357,10
2019-02-07,1.0,0,-0.003049339971269571,10
2019-02-08,1.0,0,-0.002946108556666349,10
2019-02-11,1.0,0,0.0002664698363879836,10
2019-02-12,1.0,0,0.0004876566783623915,10
2019-02-13,0.9976795395078475,1,0.0012287239918186365,10
2019-02-14,0.9975797715538968,0,-0.0009909318680633382,10
2019-02-15,0.9975797715538968,0,0.0004630937335972085,10
2019-02-19,0.9975797715538968,0,-0.0012610630734958938,10
2019-02-20,0.9975797715538968,0,0.0003794265999852442,10
2019-02-21,0.9975797715538968,0,-0.00020082192607091543,10
2019-02-22,0.9975797715538968,0,0.0004487174753455392,10
2019-02-25,0.9967656021929241,1,0.0012415216281675078,10
2019-02-26,0.9963374298294904,1,0.001412318722083228,10
2019-02-27,0.9944796721098913,1,0.0006201543825538281,10
2019-02-28,0.9943802241426803,0,-0.0010295343686633097,10
2019-03-01,0.9906576422619915,1,0.000924101958673873,10
2019-03-04,0.9893088742436144,1,0.000823660497218448,10
2019-03-05,0.9892099433561901,0,-0.0011348254138442647,10
2019-03-06,0.9808020959962048,1,0.002662591326533725,10
2019-03-07,0.9788385394969352,1,0.0033631357786569004,10
2019-03-08,0.9787406556429855,0,-0.0024077466184875716,10
2019-03-11,0.982326125185022,1,0.0014887198457977924,10
2019-03-12,0.9822278925725035,0,0.0004493585148721557,10
2019-03-13,0.9815012302319829,1,0.0014606141848318543,10
2019-03-14,0.9814030801089597,0,-0.0009185397838304965,10
2019-03-15,0.9848565612488944,1,0.0014737166501435084,10
2019-03-18,0.9847580755927695,0,-0.000991875400227471,10
2019-03-19,0.9847580755927695,0,-0.0012816609441190785,10
2019-03-20,0.9847580755927695,0,-0.00015150824339738023,10
2019-03-21,0.9655237032440751,1,0.001331037794647827,10
2019-03-22,0.9654271508737508,0,-0.003344114882364746,10
2019-03-25,0.9654271508737508,0,-0.0006426923697833153,10
2019-03-26,0.9654271508737508,0,-0.001063994872041718,10
2019-03-27,0.9654271508737508,0,-0.0017318373282477317,10
2019-03-28,0.9654271508737508,0,-0.005928505062148215,10
2019-03-29,0.9767117345081823,1,0.0023188077977035703,10
2019-04-01,0.9766140633347314,0,-0.0014134262705352008,10
2019-04-02,0.9766140633347314,0,-0.0020761712354226526,10
2019-04-03,0.9766140633347314,0,-0.0004832613295716826,10
2019-04-04,0.9766140633347314,0,-0.0009898045364757913,10
2019-04-05,0.9766140633347314,0,-0.0003245378724131776,10
2019-04-08,0.9766140633347314,0,-8.43026327613572e-05,10
