date,equity,position,mean_pred,spy_neighbors,regime
2019-10-17,0.9955137520549202,1,0.0034107475214978145,10,0.05484226111995968
2019-10-18,1.0022396386812902,1,0.0005450369557672196,10,0.049169011494007805
2019-10-21,0.9989602008249666,1,0.0019088154600419571,10,0.05533250461948636
2019-10-22,1.0018627557620838,1,0.0016301740614838244,10,0.05099523266094645
2019-10-23,1.0034981634614604,1,0.0010948411204727115,10,0.05319008945372335
2019-10-24,1.0075991705405338,1,0.0020894538404069964,10,0.054060187734938675
2019-10-25,1.00749841062348,0,-0.001639831596907193,10,0.05751787104844236
2019-10-28,1.00749841062348,0,-0.001474472980112118,10,0.06258660651655795
2019-10-29,1.00749841062348,0,-0.0012481722073626855,10,0.061354105946784296
2019-10-30,1.004710940574421,1,0.0017350863401603966,10,0.06372727474906092
2019-10-31,1.0139758514832538,1,0.0023141806669910283,10,0.06004248097818704
2019-11-01,1.0180412893094422,1,0.0011975312261729876,10,0.06898870344918377
2019-11-04,1.0169148505067738,1,0.001757585287344643,10,0.07244866897324848
2019-11-05,1.016813159021723,0,0.00025767333847728226,10,0.07037035463625294
2019-11-06,1.0202805199811122,1,0.0005399098276456904,10,0.06973215020927542
2019-11-07,1.0227937139907213,1,0.0005800132900770194,10,0.07259244274448376
2019-11-08,1.020838612732317,1,0.002210149980545406,10,0.07436245875592516
2019-11-11,1.0207365288710437,0,-9.992834304037857e-05,10,0.0714124432651497
2019-11-12,1.0209649357788673,1,0.0013666340872200422,10,0.07275347453025514
2019-11-13,1.022450371147881,1,0.0012560866099843083,10,0.07225956035710682
2019-11-14,1.029822277140913,1,0.001509698995719777,10,0.07301426205568844
2019-11-15,1.030581916571648,1,0.0019383973189729176,10,0.07992807961387137
2019-11-18,1.0302842680270226,1,0.0023283294273954702,10,0.07990579052332457
2019-11-19,1.0264457179626372,1,0.0015065542485644735,10,0.07879888892767294
2019-11-20,1.026343073390841,0,-0.0017017072485532303,10,0.0740110753102858
2019-11-21,1.0285201984696395,1,0.0013904783034797141,10,0.07147133825414172
2019-11-22,1.0364608250176386,1,0.0020067106687932323,10,0.07303508334850727
2019-11-25,1.036357178935137,0,-0.0011517538875662758,10,0.08048507647450115
2019-11-26,1.0408625897396564,1,0.0005613537492044074,10,0.08211664976411111
2019-11-27,1.0369951193145575,1,0.0009966757208380804,10,0.08611203814116684
2019-11-29,1.036891419802626,0,-0.00010501424931641523,10,0.08127045889761239
2019-12-02,1.036891419802626,0,-0.0006782389063068273,10,0.0713834812726344
2019-12-03,1.036891419802626,0,-0.0064274008976208385,10,0.06354900244856622
2019-12-04,1.036891419802626,0,-0.0017737262046068735,10,0.0694335375699827
2019-12-05,1.0462148510515656,1,0.0013139037678123523,10,0.07065050723701452
2019-12-06,1.0461102295664606,0,-0.0023481318352466473,10,0.07969691015416934
2019-12-09,1.0461102295664606,0,-9.341108490135142e-05,10,0.07559751263536445
