date,equity,position,mean_pred,spy_neighbors,regime,knn_long,gated
2019-02-01,1.0,0,-0.00040524895154856464,10,-0.005599385992861791,False,False
2019-02-04,1.0,0,5.8186669267001887e-05,10,0.001294203543897963,False,False
2019-02-05,1.0,0,0.0003937986229527901,10,0.005340607487383127,False,False
2019-02-06,1.0,0,-0.0002499195518613995,10,0.003829591435797944,False,False
2019-02-07,1.0,0,-0.0030493860667905716,10,-0.005877018479854555,False,False
2019-02-08,1.0,0,-0.002946208903552172,10,-0.0048702648247326554,False,False
2019-02-11,1.0,0,0.00026639411308844175,10,-0.004517449508674368,False,False
2019-02-12,1.0,0,0.0004876472702094681,10,0.008066677116322621,False,False
2019-02-13,0.9976796015072823,1,0.0012288001842549966,10,0.011110177217169788,True,False
2019-02-14,0.9975798335471315,0,-0.0009910201730466638,10,0.008612208840807281,False,False
2019-02-15,0.9975798335471315,0,0.0004629542608780568,10,0.019298277193681553,False,False
2019-02-19,0.9975798335471315,0,-0.001260923793682256,10,0.0207149297296655,False,False
2019-02-20,0.9975798335471315,0,0.0003794303478661831,10,0.022402837679777583,False,False
2019-02-21,0.9975798335471315,0,-0.00020068379891968746,10,0.01848111069313328,False,False
2019-02-22,0.9975798335471315,0,0.00044873427648566276,10,0.024491746637264576,False,False
2019-02-25,0.9967662714299312,1,0.0012415627539634321,10,0.025575522452902334,True,False
2019-02-26,0.9963377951926855,1,0.0014124581893034005,10,0.024582779336213487,True,False
2019-02-27,0.9944804624558382,1,0.0006201969634050287,10,0.023932456508098023,True,False
2019-02-28,0.9943810144095926,0,-0.0010295207289452435,10,0.02184101663484265,False,False
2019-03-01,0.9906577032701114,1,0.0009240563471164087,10,0.02800531741383766,True,False
2019-03-04,0.9893094175039043,1,0.0008237428093583965,10,0.024034706020160834,True,False
2019-03-05,0.9892104865621539,0,-0.0011350778135770234,10,0.022439873641451273,False,False
2019-03-06,0.9808023903370572,1,0.0026626072347764483,10,0.016073897158346458,True,False
2019-03-07,0.9788390152763955,1,0.003363177016482766,10,0.007432398293741475,True,False
2019-03-08,0.9787411313748678,0,-0.002407669520566458,10,0.005323614519587228,False,False
2019-03-11,0.9823264832911677,1,0.0014887148573039077,10,0.019718535193944564,True,False
2019-03-12,0.9822282506428386,0,0.0004493297675582042,10,0.023373358091314404,False,False
2019-03-13,0.9815017068575739,1,0.0014604380086153945,10,0.029910411238700158,True,False
2019-03-14,0.9814035566868882,0,-0.0009184259105775361,10,0.029006630108630506,False,False
2019-03-15,0.9848564488447795,1,0.0014737118043440134,10,0.033760131585441326,True,False
2019-03-18,0.9847579631998951,0,-0.0009917688240665078,10,0.03722364082056591,False,False
2019-03-19,0.9847579631998951,0,-0.0012818298412132557,10,0.03716463438220705,False,False
