date,equity,held,mean_pred_SPY,mean_pred_QQQ,mean_pred_IEF,mean_pred_GLD
2019-02-01,0.9955536443081555,GLD,-0.0004051986751957948,0.0017096308925713011,-0.00050724645610698,0.0019311315941769713
2019-02-04,0.9981203301086896,GLD,5.83180297026864e-05,-0.0023058444102203703,0.00036361368306705446,0.0006714599364901375
2019-02-05,0.9950402711393299,QQQ,0.0003938544978428382,0.0008227728177248927,6.070152554285002e-05,-0.0009422866446032075
2019-02-06,0.994940767112216,cash,-0.0002499307541715012,-0.0021384202529848295,-0.00052658035316,0.0002958068936528946
2019-02-07,0.9961733673804368,IEF,-0.0030493572136007785,-0.001037184714841466,0.0018670048457997506,-0.0002797357105355225
2019-02-08,0.9960737500436988,cash,-0.002946133930592687,7.434819763254552e-05,0.0001545764055925325,-0.0014811840659407771
2019-02-11,0.9960737500436988,cash,0.0002663879969723837,-0.001596370826810034,-5.636863285634064e-05,0.00017492735925106473
2019-02-12,0.9960737500436988,cash,0.0004876953073733148,-0.0009004003289991402,0.00036809904918087,-0.0025431480838782328
2019-02-13,1.001528996743724,GLD,0.0012287877745939646,-0.0005998044290242532,0.0008069979161392738,0.002885372849971457
2019-02-14,1.0014288438440495,cash,-0.0009909121494260376,-0.0011381723409039425,0.0,-0.001582250752225356
2019-02-15,1.0014288438440495,cash,0.0004630505067391155,-0.0009131953618001454,-0.0007310802095538804,-0.001225760833627465
2019-02-19,1.0014288438440495,cash,-0.0012609656977913275,-0.0019443529693111473,0.0004592463729886198,-0.0006463727776617745
2019-02-20,0.9899430552007841,GLD,0.0003793705705641415,-0.001192813413871452,-0.00012436766903727302,0.0017078862565264251
2019-02-21,0.9971419661674302,QQQ,-0.00020079235114653927,0.0009882245421014347,0.0009791799981492487,-0.0003287150778645831
2019-02-22,0.995516174046898,IEF,0.000448770311269886,-0.00017930856454793088,0.0017840109851757768,-0.0007574702927975352
2019-02-25,0.9947044160042063,SPY,0.0012414537547031479,0.0009702006707160038,9.628216490318309e-05,-0.0010700808197297463
2019-02-26,0.9942770684870585,SPY,0.0014124161775276533,0.00039281391133672017,0.0007777424793495413,-0.0012080436035585506
2019-02-27,0.988580642736445,GLD,0.0006202459450626918,0.002121797833540917,0.0013815415999848923,0.0029868315394232956
2019-02-28,0.9953073927692846,QQQ,-0.0010295671414405128,0.0011931670140814532,0.00019252956491842,-0.000525203698660981
2019-03-01,0.9915810369225438,SPY,0.0009239520222089403,0.00029494022792384553,-0.0004602366328148477,-0.0009413047627558236
2019-03-04,0.9927860612851135,GLD,0.0008236385298255655,-0.0026106311658498525,-1.170618024319836e-05,0.0024254266611773547
2019-03-05,0.9918884565564954,GLD,-0.0011349426931747785,0.0007466758044575528,-0.00034542070834389096,0.0019575649510574777
2019-03-06,0.9834576594643402,SPY,0.0026625271034459884,-0.0040964020033562145,-0.0005438784100221916,0.0023816390730526217
2019-03-07,0.9814887863083316,SPY,0.003363163951357073,-0.006816370135907146,0.0004013304110375593,0.0023523585660999657
2019-03-08,1.0015918411520859,QQQ,-0.002407787825657959,0.0023198287500123095,0.0019919675245889225,-0.0004978463055026102
2019-03-11,1.0070799533494934,QQQ,0.0014888489801524684,0.0023847948536073636,-0.00013405743170471495,0.002073854202164149
2019-03-12,1.0139964934584278,GLD,0.0004492704584595053,0.00129213043494385,0.0007483166792344953,0.0028790706085141337
2019-03-13,1.0121750492595802,QQQ,0.0014605522251296855,0.0028790645721824327,-0.000576220192808119,-0.0017592539558359376
2019-03-14,1.0166932778999784,GLD,-0.0009183997224966767,-0.0025002555436226537,-0.00047199366750456663,0.0030830023724415234
2019-03-15,1.0202715528526,SPY,0.001473658798577393,-0.0018798144191630507,0.0013145998425605043,-0.0017274274040190996
2019-03-18,1.020169525697315,cash,-0.0009917722566450849,0.00046547203595812545,4.390692696576437e-05,0.0003531186356778626
2019-03-19,1.02666033447375,GLD,-0.0012816557961066622,0.00046650623933164326,0.0006018473418811787,0.0009653832796225892
2019-03-20,1.0424809472800554,QQQ,-0.0001515037500326777,0.0011893306386185464,-0.000596676582424825,-0.003166258239214977
2019-03-21,1.019328405649288,QQQ,0.0013310358055607097,0.0023718842156366547,-0.0007139894892268295,0.0010262629199300655
2019-03-22,1.0270071529754825,GLD,-0.003344013528991141,-0.00849588466845681,-0.0011594003305970269,0.0006429051907634431
2019-03-25,1.031675580389272,QQQ,-0.0006427822558388918,0.005020316545453873,-0.0004896230150165159,-0.005907420705258915
2019-03-26,1.0261638613811053,GLD,-0.0010639745438056458,0.0007503330020772303,-4.321458854690263e-05,0.002288542423913853
2019-03-27,1.0261568841056694,IEF,-0.0017318198275882324,-0.00691938436269135,0.0005418525931898621,0.00011624493182793572
2019-03-28,1.0245227803226349,IEF,-0.005928510390646213,-0.003085958231602337,0.0010424712184600616,-8.778081568436847e-05
2019-03-29,1.0364977476258304,SPY,0.002318792955459248,0.0010587595991843556,0.0006453920767864219,0.001228000561402709
2019-04-01,1.0363940978510677,cash,-0.0014134398856177732,-0.00030414875076969496,-0.0007964512476500652,0.00031581914830489664
2019-04-02,1.0363940978510677,cash,-0.002076076608535438,-0.0006180156837921835,0.00017779970637317178,-0.0012987487544552146
2019-04-03,1.0358959332659197,QQQ,-0.0004832166805490701,0.0024553378714998074,0.0006060634138041366,-0.0008011516883637881
2019-04-04,1.035792343672593,cash,-0.0009896731744685639,-0.0019151583501809456,8.439317974993089e-05,0.0
2019-04-05,1.04017904729952,GLD,-0.0003244691477912731,0.0006016892336256241,-6.109469308785975e-05,0.0006853220479059452
2019-04-08,1.045598858840582,GLD,-8.429076310374483e-05,0.0021200192811847707,-0.00047648301506129085,0.003528559881802673
2019-04-09,1.0510899183294773,QQQ,0.0021202727685634137,0.0026395848733492323,-0.00026619427235976547,0.0018896292779774226
2019-04-10,1.0485931912464546,QQQ,-9.75564312484245e-05,0.0030998617974268504,8.62093859836932e-06,-0.0001334779191205726
2019-04-11,1.0531175122772012,QQQ,-0.0006814353349168023,0.004048031054734213,0.00019255167579794729,-0.0010117335032693298
2019-04-12,1.0532871790733396,QQQ,0.0004057298719652103,0.0037548406163361745,0.0004525274275595237,0.0010351222648631087
2019-04-15,1.056907812481819,QQQ,0.0005053318400485729,0.0006915909704468426,0.0005896836058624899,-0.0005854942824576881
2019-04-16,1.0605853207112006,QQQ,0.000876223527595954,0.0037984518118867605,-9.107248145472369e-05,-0.0008497935252548494
2019-04-17,1.0619445858824526,QQQ,-0.002028787383923181,0.0012061960099353896,0.0007657965096243835,0.0006108408033886015
2019-04-18,1.0618383914238643,cash,-0.0003712166482198853,-0.0013919084251554636,-0.0007126762420400113,-0.0004512178824624513
2019-04-22,1.0751502670630373,QQQ,-0.0019747369159549776,0.0017137716624874067,0.00032495392291007617,-0.0012408725569841295
2019-04-23,1.0726545973490866,SPY,0.0009376830002524094,-0.0006751946073633164,0.00019569322650161424,-0.0010079482080134206
2019-04-24,1.076892058003956,QQQ,0.001216328534683342,0.002628786351187884,0.0017306895010923639,-0.001274756712935865
2019-04-25,1.0767843687981558,cash,-0.002587009985940725,-0.0024668154486728435,0.0002928224844779059,-0.0002272847792389676
2019-04-26,1.0744375560596597,IEF,0.0012760961050998,-0.002046952086610787,0.0021117296066209155,0.0005513609359233643
2019-04-29,1.0659738276225865,QQQ,-0.00014848864972760722,0.0037467704224317445,0.0014200293642528728,4.238818092616725e-05
2019-04-30,1.0653830003183757,IEF,-0.0009742662923016177,-0.002115091083745568,0.002021514845107486,-0.002089280214199629
2019-05-01,1.0629745657439116,SPY,0.0021080232422759694,-0.0028250814713304704,0.0,0.0004017092856998694
2019-05-02,1.0628682682873372,cash,0.0003379948811512712,-0.008333780446104467,-0.00011457509808634469,-0.0027159469673653904
2019-05-03,1.0654787717770573,IEF,-0.0015038926543863517,-0.0004335005946421333,0.0006034434075058215,-0.00171720267639488
2019-05-06,1.047430464680435,SPY,0.0011593740271925058,-0.0008827171625087615,-0.0002825182862458142,-0.0008367202890537051
2019-05-07,1.047325721633967,cash,-0.004516264009525451,-0.0048918665015462715,0.00013774976319433919,-0.0011510637227323706
2019-05-08,1.0440479233400946,SPY,0.0009282207554988986,-0.0004934444306406327,-0.00026412097738477415,-0.00027245167778868764
2019-05-09,1.049279346005045,SPY,0.0019258514873459198,-0.004904758492916184,0.0011651848164969004,-0.0021351013218928296
2019-05-10,1.054401191771033,IEF,0.00014382909327395054,-0.004462985974216771,0.0010024092534960615,-0.0006426188859328441
2019-05-13,1.0658041129534666,QQQ,-0.0015591717589726883,0.005370436473316342,5.5520266487363305e-06,0.0003734663703633068
2019-05-14,1.0650881920925068,GLD,-0.0011752875034336974,-0.0013856609780929397,-8.519738959513745e-05,0.0008219261581631443
2019-05-15,1.062887730571381,IEF,-0.004304668760328134,-0.00404690495474318,0.0005713360660031697,-0.00014153027042622667
2019-05-16,1.0552327424480896,GLD,0.0,-0.0017106092039412602,0.00028501864175556335,0.0024176276790349505
2019-05-17,1.0481277150100625,SPY,0.004531173298128977,-0.0016358845909127061,-0.00036125488324332264,0.0021902878013313476
2019-05-20,1.0455876718208392,GLD,-0.0025687543524093746,-0.004144226280387553,-0.00012014133176645459,0.0021186130757774534
2019-05-21,1.0408150562738288,QQQ,0.0003397428494787746,0.004235613358859247,0.0008175096558526995,0.0025159918288959913
2019-05-22,1.024765330071068,QQQ,0.000619423532082397,0.004359651290270694,0.0007662766635482931,0.0015059721528534631
2019-05-23,1.02424779069437,QQQ,-0.005844567397100331,0.014362802992584101,-0.0004355218311720144,0.0015616980207988184
2019-05-24,1.020388638406261,QQQ,-0.0016197093757068792,0.010412574159818444,-0.0006511819755999681,-0.0012505632089815145
2019-05-28,1.0119604786529115,QQQ,0.004773722861014296,0.005293094185918612,-9.607518162813022e-05,-0.001322666838930253
2019-05-29,1.0162057157692914,QQQ,0.004257427239650014,0.012146368578970713,0.0003126243979732379,-0.000857276997012324
2019-05-30,1.0297065354309318,GLD,-0.0008100616807233507,-0.0022124229232555414,0.00012679391249159622,0.000822548208128726
2019-05-31,1.0066807182663655,QQQ,0.006389794661681237,0.011227433030919887,-0.0005220618512788988,-1.973874445726498e-05
2019-06-03,1.0346336542445536,QQQ,0.0013143629527252898,0.004721308864006524,0.0016123807507415044,-0.00012061737319628563
2019-06-04,1.0345301908791291,cash,-0.0032244657486275585,-0.005208863207256442,9.222419604490995e-05,-0.0018157723997048515
2019-06-05,1.034236739471248,IEF,-0.0010210696423929022,-0.004184081992626165,0.0009383213388628242,-0.00127691860450021
2019-06-06,1.0444304859912803,SPY,0.00686076624213019,0.0011454757313429376,0.0001064059538136597,0.000383700378977192
2019-06-07,1.0391504062161458,IEF,0.0008356385202199057,-0.015617550285014362,0.0017626493166038593,-0.0004283849653218041
2019-06-10,1.037802160997618,GLD,0.0014831520480901085,-0.0009498139104100467,-0.00012523774793882225,0.0018006378056159456
2019-06-11,1.0358648305248097,SPY,0.0005430681240374824,-0.0023767823067899485,0.00015728494138373962,-0.0004673253871834149
2019-06-12,1.0418780008962745,QQQ,-2.8120824240751576e-06,0.0011334103839901744,-0.0005106850632292214,-0.0016494727185983216
2019-06-13,1.0417738130961849,cash,-0.0009052599436266462,-0.00024783122441780493,-0.00037396939300453623,-0.0014183928983318773
2019-06-14,1.0417738130961849,cash,0.0004424952071898858,-0.0003432640055356373,-0.00014509396745152615,-0.0015339643332602294
2019-06-17,1.052520123051414,SPY,0.0012774860940545807,-0.0004926824160519594,0.0008966630546392906,0.00046682999136304915
2019-06-18,1.0552940902254355,IEF,-0.002196314242637687,-0.00270495317996442,0.0012814482359861934,-0.001338642805011503
2019-06-19,1.0570221329366938,IEF,-0.0007968316028382106,-0.001330974866752399,0.0013197186478753232,-2.950084352031368e-05
2019-06-20,1.0526889753866202,IEF,-0.0009373637380911681,-0.000768893254248848,0.0006804974666296815,-0.00010237799973573658
2019-06-21,1.0681004672214882,GLD,0.0008884008787245712,0.00024875246062370235,-0.0004702944829750422,0.0026019768970280133
2019-06-24,1.0701717758057123,GLD,-0.0019120549837224666,-0.001019451937233118,0.00027853042745205057,0.0030594036723445408
2019-06-25,1.0603180046428835,GLD,0.001881883886055924,-0.00264780196993728,0.000868893809024307,0.004483890648225852
2019-06-26,1.0639646881749925,SPY,0.0020005334716081792,0.001046566619054623,0.0006654942344725079,-0.0009186004761775557
2019-06-27,1.069425450406723,SPY,0.0028601515506828435,0.00019684580102055093,0.00015314351874309295,-0.0007891474692918621
